leak_ID,facility_ID,equipment_group,rate,lat,lon,status,days_active,days_active_prog_start,tagged,component,date_began,date_tagged,tagged_by_company,tagged_by_crew,init_detect_by,init_detect_date,requires_shutdown,date_repaired,repair_delay,OGI_sp_covered,cum_frac_leaks,cum_rate,cum_frac_rate
ABRAND00889_0000000008,ABRAND00889,1,0.8937273980115407,52.51,-114.28,active,59,0,True,unknown,2021-11-01 00:00:00,2021-12-18 10:30:00,OGI,3.0,OGI,2021-12-18 10:30:00,False,,,1.0,0.0,0.8937273980115407,0.11534093473109752
ABRAND00068_0000000003,ABRAND00068,1,0.647833784452245,57.4,-119.6,active,49,0,False,unknown,2021-11-11 00:00:00,,,,,,False,,,,0.00303951367781155,1.5415611824637856,0.19894780905917023
ABRAND00215_0000000005,ABRAND00215,1,0.35410618614703643,54.36,-118.7,active,6,0,False,unknown,2021-12-24 00:00:00,,,,,,False,,,,0.0060790273556231,1.895667368610822,0.24464735748426594
ABRAND00279_0000000006,ABRAND00279,2,0.2148051360495225,54.11,-117.5,active,19,0,False,unknown,2021-12-11 00:00:00,,,,,,False,,,,0.00911854103343465,2.1104725046603448,0.27236926153701896
ABRAND00089_0000000006,ABRAND00089,3,0.17369324604953174,54.78,-119.52,active,6,0,False,unknown,2021-12-24 00:00:00,,,,,,False,,,,0.0121580547112462,2.2841657507098763,0.29478542713785555
ABRAND00219_0000000001,ABRAND00219,5,0.15895409124945592,54.46,-118.69,active,1,0,False,unknown,2021-12-29 00:00:00,,,,,,False,,,,0.015197568389057751,2.4431198419593323,0.31529941552495844
ABRAND00553_0000000004,ABRAND00553,1,0.13608723502124997,53.54,-115.54,active,53,0,False,unknown,2021-11-07 00:00:00,,,,,,False,,,0.0,0.0182370820668693,2.579207076980582,0.3328622975930751
ABRAND01156_0000000004,ABRAND01156,2,0.11280242968634903,55.05,-110.49,active,10,0,False,unknown,2021-12-20 00:00:00,,,,,,False,,,,0.02127659574468085,2.692009506666931,0.3474201344781366
ABRAND00694_0000000007,ABRAND00694,2,0.10582871483084866,52.1,-115.0,active,7,0,False,unknown,2021-12-23 00:00:00,,,,,,False,,,,0.0243161094224924,2.7978382214977797,0.361077971215758
ABRAND01119_0000000005,ABRAND01119,2,0.10382653249347863,55.25,-110.9,active,41,0,False,unknown,2021-11-19 00:00:00,,,,,,False,,,,0.02735562310030395,2.9016647539912586,0.374477414193931
ABRAND00011_0000000008,ABRAND00011,2,0.0982345410137005,57.57,-119.91,active,90,0,False,unknown,2021-10-01 00:00:00,,,,,,False,,,1.0,0.030395136778115502,2.999899295004959,0.38715517679649836
ABRAND00491_0000000010,ABRAND00491,2,0.08682199655625374,52.89,-115.74,active,12,0,False,unknown,2021-12-18 00:00:00,,,,,,False,,,,0.03343465045592705,3.0867212915612128,0.39836008140197304
ABRAND01034_0000000006,ABRAND01034,4,0.08380406867920032,51.38,-113.24,active,37,0,False,unknown,2021-11-23 00:00:00,,,,,,False,,,,0.0364741641337386,3.170525360240413,0.4091755041329244
ABRAND01122_0000000009,ABRAND01122,2,0.07571654840858692,55.22,-110.85,active,38,0,True,unknown,2021-11-22 00:00:00,2021-12-22 08:00:00,OGI,2.0,OGI,2021-12-22 08:00:00,False,,,1.0,0.03951367781155015,3.246241908649,0.4189471833804102
ABRAND00393_0000000004,ABRAND00393,1,0.06979359490905825,53.0,-116.01,active,14,0,False,unknown,2021-12-16 00:00:00,,,,,,False,,,,0.0425531914893617,3.316035503558058,0.4279544695987414
ABRAND00409_0000000005,ABRAND00409,4,0.06859191798679595,52.99,-115.96,active,13,0,False,unknown,2021-12-17 00:00:00,,,,,,False,,,,0.04559270516717325,3.384627421544854,0.4368066721307417
ABRAND00292_0000000003,ABRAND00292,2,0.06591809506797969,53.97,-117.25,active,29,0,False,unknown,2021-12-01 00:00:00,,,,,,False,,,,0.0486322188449848,3.450545516612834,0.44531380161759665
ABRAND00979_0000000011,ABRAND00979,1,0.061632969390192395,52.8,-114.04,active,74,0,False,unknown,2021-10-17 00:00:00,,,,,,False,,,0.0,0.05167173252279635,3.5121784860030263,0.4532679096773186
ABRAND00601_0000000007,ABRAND00601,1,0.056452129077228304,53.36,-115.32,active,14,0,False,unknown,2021-12-16 00:00:00,,,,,,False,,,,0.0547112462006079,3.5686306150802545,0.460553398910182
ABRAND00363_0000000006,ABRAND00363,1,0.0517952971062301,52.92,-116.09,active,20,0,False,unknown,2021-12-10 00:00:00,,,,,,False,,,,0.057750759878419454,3.6204259121864846,0.4672378957670528
ABRAND00797_0000000005,ABRAND00797,1,0.05105121869216159,52.21,-114.51,active,37,0,False,unknown,2021-11-23 00:00:00,,,,,,False,,,,0.060790273556231005,3.671477130878646,0.47382636479711326
ABRAND00380_0000000009,ABRAND00380,1,0.05041592315028722,53.34,-116.03,active,50,0,False,unknown,2021-11-10 00:00:00,,,,,,False,,,0.0,0.06382978723404255,3.7218930540289334,0.48033284508900453
ABRAND00049_0000000003,ABRAND00049,1,0.045355484748857436,54.88,-119.71,active,77,0,False,unknown,2021-10-14 00:00:00,,,,,,False,,,0.0,0.0668693009118541,3.7672485387777908,0.48618624515009085
ABRAND00422_0000000003,ABRAND00422,4,0.04339922223633472,53.14,-115.92,active,157,0,True,unknown,2021-07-26 00:00:00,2021-12-23 08:00:00,OGI,1.0,OGI,2021-12-23 08:00:00,False,,,1.0,0.06990881458966565,3.8106477610141254,0.49178717768329805
ABRAND00859_0000000005,ABRAND00859,3,0.04246341886432697,52.7,-114.34,active,0,0,False,unknown,2021-12-30 00:00:00,,,,,,False,,,,0.0729483282674772,3.8531111798784523,0.4972673391224423
ABRAND00164_0000000006,ABRAND00164,1,0.03610235713543281,54.52,-119.01,active,172,0,False,unknown,2021-07-11 00:00:00,,,,,,False,,,1.0,0.07598784194528875,3.889213537013885,0.5019265670114624
ABRAND00417_0000000002,ABRAND00417,1,0.03605710004843577,53.88,-115.94,active,76,0,False,unknown,2021-10-15 00:00:00,,,,,,False,,,1.0,0.0790273556231003,3.925270637062321,0.5065799541992474
ABRAND01135_0000000001,ABRAND01135,2,0.03576745024308265,54.97,-110.7,active,113,0,False,unknown,2021-09-08 00:00:00,,,,,,False,,,1.0,0.08206686930091185,3.9610380873054036,0.5111959603250122
ABRAND01027_0000000006,ABRAND01027,1,0.03519981922241046,56.22,-113.41,active,347,0,False,unknown,2021-01-17 00:00:00,,,,,,False,,,1.0,0.0851063829787234,3.996237906527814,0.5157387102289668
ABRAND00291_0000000010,ABRAND00291,4,0.03512600356272969,54.07,-117.25,active,72,0,False,unknown,2021-10-19 00:00:00,,,,,,False,,,1.0,0.08814589665653495,4.031363910090544,0.5202719337748793
ABRAND00120_0000000009,ABRAND00120,2,0.03484989229394697,54.94,-119.32,active,23,0,False,unknown,2021-12-07 00:00:00,,,,,,False,,,1.0,0.0911854103343465,4.066213802384491,0.5247695234889299
ABRAND00930_0000000005,ABRAND00930,5,0.034376098408882845,52.81,-114.19,active,219,0,False,unknown,2021-05-25 00:00:00,,,,,,False,,,1.0,0.09422492401215805,4.1005899007933735,0.5292059672319667
ABRAND00632_0000000004,ABRAND00632,1,0.034232702293577506,53.0,-115.21,active,183,0,False,unknown,2021-06-30 00:00:00,,,,,,False,,,1.0,0.0972644376899696,4.134822603086951,0.5336239048376588
ABRAND00449_0000000006,ABRAND00449,1,0.033703076522162284,53.17,-115.87,active,49,0,False,unknown,2021-11-11 00:00:00,,,,,,False,,,1.0,0.10030395136778116,4.168525679609113,0.5379734910291852
ABRAND00159_0000000010,ABRAND00159,1,0.03347152446191814,54.79,-119.06,active,52,0,False,unknown,2021-11-08 00:00:00,,,,,,False,,,,0.1033434650455927,4.201997204071031,0.5422931940246423
ABRAND00169_0000000004,ABRAND00169,1,0.03339858317880169,54.69,-118.97,active,36,0,False,unknown,2021-11-24 00:00:00,,,,,,False,,,1.0,0.10638297872340426,4.235395787249832,0.5466034835056496
ABRAND00503_0000000003,ABRAND00503,4,0.03301283995776572,53.97,-115.71,active,237,0,False,unknown,2021-05-07 00:00:00,,,,,,False,,,0.0,0.1094224924012158,4.268408627207598,0.5508639904872289
ABRAND00264_0000000014,ABRAND00264,3,0.03246887932762109,53.99,-117.62,active,292,0,False,unknown,2021-03-13 00:00:00,,,,,,False,,,1.0,0.11246200607902736,4.300877506535219,0.5550542960542858
ABRAND00105_0000000005,ABRAND00105,2,0.032361105269484866,55.84,-119.42,active,337,0,False,unknown,2021-01-27 00:00:00,,,,,,False,,,0.0,0.11550151975683891,4.3332386118047035,0.5592306927262669
ABRAND00220_0000000010,ABRAND00220,3,0.03230669524870678,54.45,-118.69,active,222,0,False,unknown,2021-05-22 00:00:00,,,,,,False,,,1.0,0.11854103343465046,4.36554530705341,0.563400067455462
ABRAND00218_0000000003,ABRAND00218,4,0.03228991899894768,54.35,-118.69,active,229,0,False,unknown,2021-05-15 00:00:00,,,,,,False,,,1.0,0.12158054711246201,4.397835226052358,0.5675672771079985
ABRAND00165_0000000009,ABRAND00165,5,0.03203730723787645,55.6,-119.0,active,325,0,False,unknown,2021-02-08 00:00:00,,,,,,False,,,1.0,0.12462006079027356,4.429872533290235,0.5717018856824985
ABRAND00413_0000000010,ABRAND00413,2,0.031104832645514603,53.92,-115.95,active,28,0,False,unknown,2021-12-02 00:00:00,,,,,,False,,,,0.1276595744680851,4.460977365935749,0.5757161527621137
ABRAND01093_0000000007,ABRAND01093,2,0.030926274934688264,55.92,-111.38,active,133,0,False,unknown,2021-08-19 00:00:00,,,,,,False,,,1.0,0.13069908814589665,4.491903640870437,0.5797073758874809
ABRAND00797_0000000006,ABRAND00797,3,0.02987097589955355,52.21,-114.51,active,34,0,False,unknown,2021-11-26 00:00:00,,,,,,False,,,,0.1337386018237082,4.521774616769991,0.5835624062795783
ABRAND00523_0000000005,ABRAND00523,1,0.02960414059790954,52.84,-115.63,active,196,0,False,unknown,2021-06-17 00:00:00,,,,,,False,,,1.0,0.13677811550151975,4.5513787573679005,0.5873829999595649
ABRAND00802_0000000005,ABRAND00802,1,0.028965299467550623,52.5,-114.5,active,355,0,False,unknown,2021-01-09 00:00:00,,,,,,False,,,1.0,0.1398176291793313,4.580344056835451,0.5911211473217097
ABRAND01161_0000000005,ABRAND01161,1,0.02875926845616766,55.39,-110.45,active,85,0,False,unknown,2021-10-06 00:00:00,,,,,,False,,,1.0,0.14285714285714285,4.609103325291619,0.5948327051337419
ABRAND00517_0000000002,ABRAND00517,1,0.028360703504162706,54.11,-115.64,active,71,0,False,unknown,2021-10-20 00:00:00,,,,,,False,,,1.0,0.1458966565349544,4.637464028795781,0.598492825724293
ABRAND00919_0000000008,ABRAND00919,1,0.028333100841022224,52.7,-114.22,active,5,0,False,unknown,2021-12-25 00:00:00,,,,,,False,,,,0.14893617021276595,4.665797129636804,0.6021493840239545
ABRAND00566_0000000004,ABRAND00566,3,0.027950711257904715,53.16,-115.48,active,59,0,False,unknown,2021-11-01 00:00:00,,,,,,False,,,1.0,0.1519756838905775,4.693747840894709,0.6057565926314767
ABRAND00419_0000000001,ABRAND00419,3,0.02788140030755925,52.96,-115.92,active,46,0,False,unknown,2021-11-14 00:00:00,,,,,,False,,,1.0,0.15501519756838905,4.721629241202268,0.6093548562409854
ABRAND00172_0000000004,ABRAND00172,1,0.02779821631163324,54.44,-118.94,active,123,0,False,unknown,2021-08-29 00:00:00,,,,,,False,,,1.0,0.1580547112462006,4.749427457513901,0.6129423844519082
ABRAND00997_0000000006,ABRAND00997,4,0.027636952027882637,52.91,-113.96,active,199,0,False,unknown,2021-06-14 00:00:00,,,,,,False,,,1.0,0.16109422492401215,4.777064409541784,0.616509100530107
ABRAND00543_0000000004,ABRAND00543,1,0.027506785561186152,52.98,-115.59,active,190,0,False,unknown,2021-06-23 00:00:00,,,,,,False,,,1.0,0.1641337386018237,4.80457119510297,0.6200590178372567
ABRAND00139_0000000007,ABRAND00139,2,0.027503086786429,55.02,-119.19,active,345,0,False,unknown,2021-01-19 00:00:00,,,,,,False,,,0.0,0.16717325227963525,4.832074281889399,0.6236084577951176
ABRAND01033_0000000005,ABRAND01033,1,0.027359152907145776,56.26,-113.24,active,303,0,False,unknown,2021-03-02 00:00:00,,,,,,False,,,1.0,0.1702127659574468,4.8594334347965455,0.6271393222139351
ABRAND00524_0000000002,ABRAND00524,1,0.027294138852105368,53.74,-115.63,active,189,0,False,unknown,2021-06-24 00:00:00,,,,,,False,,,1.0,0.17325227963525835,4.886727573648651,0.6306617961751078
ABRAND00098_0000000004,ABRAND00098,3,0.02713359641878924,54.94,-119.5,active,222,0,False,unknown,2021-05-22 00:00:00,,,,,,False,,,1.0,0.1762917933130699,4.91386117006744,0.6341635511627276
ABRAND00348_0000000007,ABRAND00348,1,0.026136585859045592,53.08,-116.18,active,350,0,False,unknown,2021-01-14 00:00:00,,,,,,False,,,1.0,0.17933130699088146,4.939997755926486,0.6375366358979268
ABRAND00843_0000000003,ABRAND00843,2,0.02589774476790727,52.37,-114.38,active,286,0,False,unknown,2021-03-19 00:00:00,,,,,,False,,,1.0,0.182370820668693,4.965895500694393,0.640878896743464
