datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,verification_cost,natural_redund_tags,natural_n_tags,OGI_prop_sites_avail,OGI_cost,OGI_sites_visited,OGI_travel_time,OGI_survey_time,OGI_redund_tags,OGI_missed_leaks,OGI_sites_vis_w_leaks,OGI_eff_flags,OGI_n_tags,OGI_flags_redund1,OGI_flags_redund2,OGI_flag_wo_vent
2017-01-01,4848,12.0,12.0,8.195509309967141,14.0,22960.80098012194,8200.0,2800.0,0.0,0.0,14.0,0.744,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,20.0,0.0,0.0,0.0
2017-01-02,4846,14.0,14.0,16.191128148959475,27.0,23010.828451328074,8000.0,2600.0,0.0,0.0,13.0,0.744,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0
2017-01-03,4847,16.0,16.0,24.386637458926614,41.0,22967.566226003302,8200.0,2800.0,0.0,0.0,14.0,0.33,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,24.0,0.0,0.0,0.0
2017-01-04,4849,14.0,14.0,32.18236582694414,53.0,22932.5429032935,7800.0,2400.0,0.0,0.0,12.0,0.09,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,19.0,0.0,0.0,0.0
2017-01-05,4851,13.0,13.0,39.97809419496167,65.0,22923.755784800975,7800.0,2400.0,0.0,0.0,12.0,0.314,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,15.0,0.0,0.0,0.0
2017-01-06,4852,16.0,16.0,48.973165388828036,83.0,22912.76253057729,9000.0,3600.0,0.0,0.0,18.0,1.0,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,18.0,0.0,0.0,0.0
2017-01-07,4850,9.0,9.0,56.56900328587076,94.0,22899.906966992447,7600.0,2200.0,0.0,0.0,11.0,0.91,5400.0,9.0,360.0,1080.0,0.0,0.0,9.0,0.0,23.0,0.0,0.0,0.0
2017-01-08,4848,13.0,13.0,63.96495071193866,104.0,22891.044762130972,7400.0,2000.0,0.0,0.0,10.0,1.0,5400.0,9.0,360.0,1080.0,0.0,0.0,9.0,0.0,25.0,0.0,0.0,0.0
2017-01-09,4851,14.0,14.0,71.76067907995619,116.0,22832.749409954064,7800.0,2400.0,0.0,0.0,11.0,0.0,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,16.0,0.0,0.0,0.0
2017-01-10,4853,7.0,7.0,79.95618838992334,130.0,22806.54917029562,8200.0,2800.0,0.0,0.0,14.0,0.256,5400.0,9.0,360.0,1080.0,0.0,0.0,8.0,0.0,23.0,0.0,0.0,0.0
2017-01-11,4846,9.0,9.0,88.9512595837897,148.0,22805.02628759825,9000.0,3600.0,0.0,0.0,14.0,0.0,5400.0,9.0,360.0,1080.0,0.0,0.0,9.0,0.0,22.0,0.0,0.0,0.0
2017-01-12,4837,12.0,12.0,97.74644030668127,165.0,22905.96613765847,8800.0,3400.0,0.0,0.0,17.0,0.76,5400.0,9.0,360.0,1080.0,0.0,0.0,9.0,0.0,21.0,0.0,0.0,0.0
2017-01-13,4832,14.0,14.0,107.14129244249727,185.0,22900.503425241553,9400.0,4000.0,0.0,0.0,20.0,0.074,5400.0,9.0,360.0,1080.0,0.0,0.0,9.0,0.0,21.0,0.0,0.0,0.0
2017-01-14,4826,15.0,15.0,114.93702081051478,197.0,22876.1628365117,7800.0,2400.0,0.0,0.0,11.0,0.074,5400.0,9.0,360.0,1080.0,0.0,0.0,9.0,0.0,28.0,0.0,0.0,0.0
2017-01-15,4829,22.0,22.0,122.7327491785323,209.0,22940.70921170253,7800.0,2400.0,0.0,0.0,12.0,0.744,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,19.0,0.0,0.0,0.0
2017-01-16,4839,18.0,18.0,131.7278203723987,227.0,22916.874404809256,9000.0,3600.0,0.0,0.0,17.0,0.744,5400.0,9.0,360.0,1080.0,0.0,0.0,6.0,0.0,11.0,0.0,0.0,0.0
2017-01-17,4839,10.0,10.0,145.52026286966046,269.0,22481.47777606811,13800.0,8400.0,0.0,0.0,23.0,0.074,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,16.0,0.0,0.0,0.0
2017-01-18,4807,12.0,12.0,157.11391018619935,300.0,22335.351283707798,11600.0,6200.0,0.0,0.0,15.0,0.074,5400.0,9.0,360.0,1080.0,0.0,0.0,7.0,0.0,21.0,0.0,0.0,0.0
2017-01-19,4788,9.0,9.0,168.90744797371303,332.0,22188.697032016076,11800.0,6400.0,0.0,0.0,10.0,0.926,5400.0,9.0,360.0,1080.0,0.0,0.0,9.0,0.0,29.0,0.0,0.0,0.0
