datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,verification_cost,natural_redund_tags,natural_n_tags
2017-01-01,3236,16.0,16.0,2.198795180722892,11.0,13531.03059104745,2200.0,2200.0,0.0,0.0,11.0
2017-01-02,3241,11.0,11.0,5.796823658269441,29.0,13520.129546504433,3600.0,3600.0,0.0,0.0,18.0
2017-01-03,3234,14.0,14.0,8.395399780941949,42.0,13583.872938267194,2600.0,2600.0,0.0,0.0,13.0
2017-01-04,3235,19.0,19.0,10.394304490690033,52.0,13598.353926321577,2000.0,2000.0,0.0,0.0,10.0
2017-01-05,3244,13.0,13.0,13.19277108433735,66.0,13549.912281928218,2800.0,2800.0,0.0,0.0,14.0
2017-01-06,3243,16.0,16.0,15.591456736035049,78.0,13544.426503468898,2400.0,2400.0,0.0,0.0,12.0
2017-01-07,3247,10.0,10.0,17.99014238773275,90.0,13460.40096732572,2400.0,2400.0,0.0,0.0,12.0
2017-01-08,3245,20.0,20.0,20.588718510405258,103.0,13438.461854073237,2600.0,2600.0,0.0,0.0,13.0
2017-01-09,3252,13.0,13.0,22.98740416210296,115.0,13418.837866197126,2400.0,2400.0,0.0,0.0,12.0
2017-01-10,3253,14.0,14.0,25.985761226725085,130.0,13417.49263799251,3000.0,3000.0,0.0,0.0,15.0
2017-01-11,3252,15.0,15.0,28.384446878422782,142.0,13457.335806543962,2400.0,2400.0,0.0,0.0,12.0
2017-01-12,3255,11.0,11.0,30.58324205914567,153.0,13439.664564439867,2200.0,2200.0,0.0,0.0,11.0
2017-01-13,3255,13.0,13.0,32.782037239868565,164.0,13447.279547631666,2200.0,2200.0,0.0,0.0,11.0
2017-01-14,3257,11.0,11.0,34.58105147864184,173.0,13426.164916171381,1800.0,1800.0,0.0,0.0,9.0
2017-01-15,3259,13.0,13.0,36.77984665936473,184.0,13320.28002488872,2200.0,2200.0,0.0,0.0,11.0
2017-01-16,3261,15.0,15.0,38.179079956188396,191.0,13349.161744520863,1400.0,1400.0,0.0,0.0,7.0
2017-01-17,3269,10.0,10.0,40.97754654983571,205.0,13333.059299063272,2800.0,2800.0,0.0,0.0,14.0
2017-01-18,3265,10.0,10.0,44.175794085432635,221.0,13429.985673795534,3200.0,3200.0,0.0,0.0,16.0
2017-01-19,3259,13.0,13.0,46.57447973713034,233.0,13409.546164413534,2400.0,2400.0,0.0,0.0,12.0
2017-01-20,3260,11.0,11.0,49.37294633077766,247.0,13435.31648139107,2800.0,2800.0,0.0,0.0,14.0
2017-01-21,3257,12.0,12.0,51.97152245345017,260.0,13452.179371537011,2600.0,2600.0,0.0,0.0,13.0
2017-01-22,3256,7.0,7.0,54.570098576122675,273.0,13420.24445826413,2600.0,2600.0,0.0,0.0,13.0
2017-01-23,3250,11.0,11.0,56.36911281489594,282.0,13428.150424806814,1800.0,1800.0,0.0,0.0,9.0
2017-01-24,3252,6.0,6.0,58.56790799561883,293.0,13424.297204241557,2200.0,2200.0,0.0,0.0,11.0
2017-01-25,3247,21.0,21.0,60.56681270536692,303.0,13447.82836904178,2000.0,2000.0,0.0,0.0,10.0
2017-01-26,3258,12.0,12.0,62.165936473165395,311.0,13475.54939894883,1600.0,1600.0,0.0,0.0,8.0
2017-01-27,3262,13.0,13.0,64.16484118291348,321.0,13466.265487357603,2000.0,2000.0,0.0,0.0,10.0
2017-01-28,3265,8.0,8.0,66.56352683461117,333.0,13475.27326736426,2400.0,2400.0,0.0,0.0,12.0
2017-01-29,3261,5.0,5.0,68.96221248630887,345.0,13491.843252971334,2400.0,2400.0,0.0,0.0,12.0
2017-01-30,3254,11.0,11.0,71.56078860898138,358.0,13493.72970630333,2600.0,2600.0,0.0,0.0,13.0
2017-01-31,3252,17.0,17.0,74.1593647316539,371.0,13478.11457100456,2600.0,2600.0,0.0,0.0,13.0
2017-02-01,3256,19.0,19.0,75.35870755750274,377.0,13514.387347706243,1200.0,1200.0,0.0,0.0,6.0
2017-02-02,3269,14.0,14.0,77.55750273822564,388.0,13486.61164941726,2200.0,2200.0,0.0,0.0,11.0
2017-02-03,3272,11.0,11.0,80.35596933187294,402.0,13443.669722429184,2800.0,2800.0,0.0,0.0,14.0
2017-02-04,3269,10.0,10.0,83.55421686746988,418.0,13408.43272728637,3200.0,3200.0,0.0,0.0,16.0
2017-02-05,3263,14.0,14.0,86.95235487404162,435.0,13427.305851028917,3400.0,3400.0,0.0,0.0,17.0
2017-02-06,3260,19.0,19.0,90.15060240963857,451.0,13432.51430915226,3200.0,3200.0,0.0,0.0,16.0
2017-02-07,3263,8.0,8.0,92.14950711938664,461.0,13446.153908562705,2000.0,2000.0,0.0,0.0,10.0
2017-02-08,3261,14.0,14.0,93.94852135815992,470.0,13460.960477384842,1800.0,1800.0,0.0,0.0,9.0
2017-02-09,3266,13.0,13.0,96.74698795180723,484.0,13482.398486662716,2800.0,2800.0,0.0,0.0,14.0
2017-02-10,3265,12.0,12.0,98.1462212486309,491.0,13496.682537486116,1400.0,1400.0,0.0,0.0,7.0
2017-02-11,3270,16.0,16.0,101.94414019715225,510.0,13480.26856385243,3800.0,3800.0,0.0,0.0,19.0
2017-02-12,3267,12.0,12.0,103.74315443592552,519.0,13495.636521884304,1800.0,1800.0,0.0,0.0,9.0
2017-02-13,3270,15.0,15.0,106.34173055859803,532.0,13508.588275208818,2600.0,2600.0,0.0,0.0,13.0
2017-02-14,3272,15.0,15.0,108.1407447973713,541.0,13518.523331035634,1800.0,1800.0,0.0,0.0,9.0
2017-02-15,3278,10.0,10.0,111.13910186199342,556.0,13447.563573626288,3000.0,3000.0,0.0,0.0,15.0
2017-02-16,3273,11.0,11.0,114.53723986856518,573.0,13440.811171317659,3400.0,3400.0,0.0,0.0,17.0
2017-02-17,3267,19.0,19.0,116.53614457831326,583.0,13568.436968958704,2000.0,2000.0,0.0,0.0,10.0
2017-02-18,3276,17.0,17.0,119.33461117196057,597.0,13597.071263938711,2800.0,2800.0,0.0,0.0,14.0
2017-02-19,3279,13.0,13.0,121.73329682365825,609.0,13610.696051097453,2400.0,2400.0,0.0,0.0,12.0
2017-02-20,3280,9.0,9.0,125.53121577217962,628.0,13609.50804641544,3800.0,3800.0,0.0,0.0,19.0
2017-02-21,3270,11.0,11.0,128.72946330777657,644.0,13580.654868623824,3200.0,3200.0,0.0,0.0,16.0
2017-02-22,3265,14.0,14.0,130.92825848849944,655.0,13600.073143859097,2200.0,2200.0,0.0,0.0,11.0
2017-02-23,3268,15.0,15.0,133.92661555312156,670.0,13609.900192460345,3000.0,3000.0,0.0,0.0,15.0
2017-02-24,3268,13.0,13.0,136.7250821467689,684.0,13573.972691742656,2800.0,2800.0,0.0,0.0,14.0
2017-02-25,3267,16.0,16.0,138.32420591456736,692.0,13590.33536788211,1600.0,1600.0,0.0,0.0,8.0
2017-02-26,3275,9.0,9.0,140.12322015334064,701.0,13593.082145442562,1800.0,1800.0,0.0,0.0,9.0
2017-02-27,3275,15.0,15.0,142.72179627601315,714.0,13668.079683470296,2600.0,2600.0,0.0,0.0,13.0
2017-02-28,3277,15.0,15.0,146.3198247535597,732.0,13521.88677339785,3600.0,3600.0,0.0,0.0,18.0
2017-03-01,3274,17.0,17.0,148.3187294633078,742.0,13531.921656729528,2000.0,2000.0,0.0,0.0,10.0
2017-03-02,3281,14.0,14.0,150.91730558598027,755.0,13501.924170448381,2600.0,2600.0,0.0,0.0,13.0
2017-03-03,3282,10.0,10.0,155.11500547645127,776.0,13421.658417765233,4200.0,4200.0,0.0,0.0,21.0
2017-03-04,3271,8.0,8.0,157.11391018619935,786.0,13388.548378568563,2000.0,2000.0,0.0,0.0,10.0
2017-03-05,3269,15.0,15.0,160.3121577217963,802.0,13389.27481268325,3200.0,3200.0,0.0,0.0,16.0
